,size,error
0,3,0.09307147578244188
1,4,0.08303114400399221
2,5,0.09368482458931209
3,6,0.10522368800124123
4,7,0.11025572178987915
5,8,0.1195768187981042
6,9,0.13496224459658096
7,10,0.14381364753852685
8,11,0.16014408276616882
9,12,0.1757559384616296
10,13,0.19245148816884156
11,14,0.20543994887816458
12,15,0.22013628211221392
13,16,0.24880532583428078
14,17,0.2685757982356068
15,18,0.28187587441781564
16,19,0.2997687817402129
17,20,0.31792823056754604
18,21,0.3334910854599562
19,22,0.35671432264129976
20,23,0.37329385156457234
21,24,0.4042523132086444
22,25,0.4252303532395583
23,26,0.45660627382795416
24,27,0.46920791427958025
25,28,0.4997168251669153
26,29,0.5294613066666531
