,date,I,I_p,C_p
0,2020-01-22,503,503.0,548.0
1,2020-01-23,595,595.0,643.0
2,2020-01-24,858,858.0,920.0
3,2020-01-25,1325,1325.0,1406.0
4,2020-01-26,1970,1367.229794033047,2075.0
5,2020-01-27,2737,2945.8439152065607,2877.0
6,2020-01-28,5277,4601.10330906822,5509.0
7,2020-01-29,5834,5817.607105975429,6087.0
8,2020-01-30,7835,13426.420339545695,8141.0
9,2020-01-31,9375,14094.99124561266,9802.0
10,2020-02-01,11357,10839.509300460888,11891.0
11,2020-02-02,15806,15836.795108116312,16630.0
12,2020-02-03,18677,16092.706625510604,19716.0
13,2020-02-04,22373,25473.03296918998,23707.0
14,2020-02-05,25762,32045.647043139747,27440.0
15,2020-02-06,28477,31185.264179816328,30587.0
16,2020-02-07,31393,35403.06918737813,34110.0
17,2020-02-08,33413,36139.75982317338,36814.0
18,2020-02-09,35705,38237.87509534511,39829.0
19,2020-02-10,37424,39198.91483744184,42354.0
20,2020-02-11,38638,39891.33741152765,44386.0
21,2020-02-12,38560,42205.26163494193,44759.0
22,2020-02-13,52309,41882.773938865794,59895.0
23,2020-02-14,56860,40259.215035157424,66358.0
24,2020-02-15,57452,64932.16531531224,68413.0
25,2020-02-16,57992,88544.09418629338,70513.0
26,2020-02-17,58108,63847.012891572725,72434.0
27,2020-02-18,58002,58663.80787711077,74211.0
28,2020-02-19,56541,59154.54258245405,74619.0
29,2020-02-20,54825,59699.65978106463,75077.0
30,2020-02-21,54608,55233.02331919449,75550.0
31,2020-02-22,51859,51417.40511535612,77001.0
32,2020-02-23,51390,52167.741950548894,77022.0
33,2020-02-24,49631,50093.51156710914,77241.0
34,2020-02-25,47413,47950.27581068802,77754.0
35,2020-02-26,45365,47847.550154251716,78166.0
36,2020-02-27,42924,43769.49039594477,78600.0
37,2020-02-28,39809,40613.94040523405,78928.0
38,2020-02-29,37199,38798.90454364108,79356.0
39,2020-03-01,34898,35381.278233763565,79932.0
40,2020-03-02,32368,32177.518180005787,80136.0
41,2020-03-03,29864,30071.92466314625,80261.0
42,2020-03-04,27402,28100.33317001451,80386.0
43,2020-03-05,25230,25328.46556141824,80537.0
44,2020-03-06,23702,23337.34875119937,80690.0
45,2020-03-07,22159,21536.670361708744,80770.0
46,2020-03-08,20335,20569.34491718168,80823.0
47,2020-03-09,18933,19713.145476376398,80860.0
48,2020-03-10,17567,17797.784607046193,80887.0
49,2020-03-11,16116,15990.813302794033,80921.0
50,2020-03-12,14859,15274.20164334524,80932.0
51,2020-03-13,13569,13741.479990114902,80945.0
52,2020-03-14,12124,12682.212422230283,80977.0
53,2020-03-15,10783,11636.187711011016,81003.0
54,2020-03-16,9906,9955.48066090639,81033.0
55,2020-03-17,9030,8693.568761732415,81058.0
56,2020-03-18,8106,8085.047125709613,81102.0
57,2020-03-19,7372,7519.442972586134,81156.0
58,2020-03-20,6731,6637.019550010978,81250.0
59,2020-03-21,6189,6023.313081951127,81305.0
60,2020-03-22,5799,5627.661666567019,81435.0
61,2020-03-23,5410,5140.823511319223,81498.0
62,2020-03-24,5030,4885.384149177296,81591.0
63,2020-03-25,4603,4675.321223810255,81661.0
64,2020-03-26,4310,4361.552539404093,81782.0
65,2020-03-27,3881,3926.5978257883617,81897.0
66,2020-03-28,3600,3650.792047417653,81999.0
67,2020-03-29,3236,3326.8014294571008,82122.0
68,2020-03-30,2967,2993.134806120841,82198.0
69,2020-03-31,2764,2706.3927361944807,82279.0
70,2020-04-01,2640,2412.00307002055,82361.0
71,2020-04-02,2545,2339.036646708909,82432.0
72,2020-04-03,2425,2322.998489032451,82511.0
73,2020-04-04,2267,2344.067592922489,82543.0
74,2020-04-05,2062,2238.925719363463,82602.0
75,2020-04-06,2020,2001.010953257228,82665.0
76,2020-04-07,1973,1760.0694070656946,82718.0
77,2020-04-08,1905,1712.542322776561,82809.0
78,2020-04-09,1865,1894.2634046177807,82883.0
79,2020-04-10,1810,1790.7213655554851,82941.0
80,2020-04-11,1794,1749.055604301894,83014.0
81,2020-04-12,1835,1750.0442784451755,83134.0
82,2020-04-13,1829,1713.2982778480305,83213.0
83,2020-04-14,1761,1874.564749532492,83306.0
84,2020-04-15,1699,1866.2266520480234,83356.0
85,2020-04-16,1656,1693.102967997979,83403.0
86,2020-04-17,1572,1557.820006214494,83760.0
87,2020-04-18,1537,1554.389241538022,83787.0
88,2020-04-19,1479,1447.0936709316222,83805.0
89,2020-04-20,1436,1404.4777189564106,83817.0
90,2020-04-21,1418,1393.573725504465,83853.0
91,2020-04-22,1371,1356.7658637927016,83868.0
92,2020-04-23,1265,1358.783339686334,83884.0
93,2020-04-24,1154,1319.2837889261054,83899.0
94,2020-04-25,1098,1155.6150555456438,83909.0
95,2020-04-26,998,991.1253673121994,83912.0
96,2020-04-27,907,918.140103430394,83918.0
97,2020-04-28,881,871.7581192658628,83940.0
98,2020-04-29,833,735.6603452392952,83944.0
99,2020-04-30,796,753.9122088210981,83956.0
100,2020-05-01,749,772.525539734848,83959.0
101,2020-05-02,736,718.0156134768698,83959.0
102,2020-05-03,643,678.8986584939263,83964.0
103,2020-05-04,537,675.1872083538044,83966.0
104,2020-05-05,461,586.5364805058189,83968.0
105,2020-05-06,404,402.29200122705515,83970.0
106,2020-05-07,361,325.6010789141379,83975.0
107,2020-05-08,346,305.4877947120655,83976.0
108,2020-05-09,226,284.0687430544056,83990.0
109,2020-05-10,206,281.72685321893493,84010.0
110,2020-05-11,176,175.63505020702388,84011.0
111,2020-05-12,159,100.09159471567284,84018.0
112,2020-05-13,141,139.77848281341508,84024.0
113,2020-05-14,131,117.61317732291019,84029.0
114,2020-05-15,120,113.29641126640131,84038.0
115,2020-05-16,113,106.12805568842343,84044.0
116,2020-05-17,110,102.33818486989945,84054.0
117,2020-05-18,115,95.08015574623177,84063.0
118,2020-05-19,115,98.20081809427444,84063.0
119,2020-05-20,115,117.05583594298216,84063.0
120,2020-05-21,115,123.43849324023815,84063.0
121,2020-05-22,111,110.43805497416885,84081.0
122,2020-05-23,111,110.43805497416885,84084.0
123,2020-05-24,114,109.9738204964155,84095.0
124,2020-05-25,112,105.66677352294693,84102.0
125,2020-05-26,107,115.46933310053987,84103.0
126,2020-05-27,101,114.9838050272328,84106.0
127,2020-05-28,97,101.06065777466972,84106.0
128,2020-05-29,103,91.28620984661512,84123.0
129,2020-05-30,104,87.21097094323696,84128.0
130,2020-05-31,119,96.99339874344713,84146.0
131,2020-06-01,118,113.29238398453579,84154.0
132,2020-06-02,123,130.83859925661895,84161.0
133,2020-06-03,118,142.54373470920066,84160.0
134,2020-06-04,118,123.79139255969677,84171.0
135,2020-06-05,119,122.23442516829918,84177.0
136,2020-06-06,124,109.03908638503574,84186.0
137,2020-06-07,119,122.23438154335449,84191.0
138,2020-06-08,113,127.7545667455798,84195.0
139,2020-06-09,109,123.27012680844706,84198.0
140,2020-06-10,115,101.47408861585684,84209.0
141,2020-06-11,114,97.3823891159318,84216.0
142,2020-06-12,118,108.51730733956578,84228.0
143,2020-06-13,173,122.3152923813884,84286.0
144,2020-06-14,215,119.12642310200931,84335.0
145,2020-06-15,251,233.890465492659,84378.0
146,2020-06-16,291,406.93236240070786,84422.0
147,2020-06-17,310,369.40533444899233,84458.0
148,2020-06-18,341,391.28519703359075,84494.0
149,2020-06-19,341,389.3367998573516,84494.0
150,2020-06-20,380,398.8315868878924,84553.0
151,2020-06-21,398,392.2050656805802,84572.0
152,2020-06-22,438,399.8981534861346,84624.0
153,2020-06-23,458,469.1944300781794,84653.0
154,2020-06-24,471,500.3803801821531,84673.0
155,2020-06-25,488,526.1750632035685,84701.0
156,2020-06-26,504,511.5303166345427,84725.0
157,2020-06-27,511,516.0704264200763,84743.0
158,2020-06-28,507,530.7186161566364,84757.0
159,2020-06-29,520,528.3385655738557,84780.0
160,2020-06-30,512,522.0443950398017,84785.0
161,2020-07-01,525,529.2940039529628,84816.0
162,2020-07-02,524,525.1506150674822,84830.0
163,2020-07-03,,524.0,84843.58
164,2020-07-04,,529.2361800026272,84856.7526
165,2020-07-05,,534.524485606988,84869.530022
166,2020-07-06,,539.8654317332479,84881.92412134001
167,2020-07-07,,545.2595383079394,84893.94639769981
168,2020-07-08,,550.7073303110159,84905.60800576881
169,2020-07-09,,556.2093378233141,84916.91976559574
170,2020-07-10,,561.7660960744283,84927.89217262786
171,2020-07-11,,567.3781454910006,84938.53540744903
172,2020-07-12,,573.0460317454273,84948.85934522556
173,2020-07-13,,578.7703058049873,84958.87356486879
174,2020-07-14,,584.5515239813933,84968.58735792272
175,2020-07-15,,590.3902479807699,84978.00973718503
176,2020-07-16,,596.2870449540605,84987.14944506947
177,2020-07-17,,602.2424875478671,84996.01496171739
178,2020-07-18,,608.2571539557239,85004.61451286587
179,2020-07-19,,614.3316279698106,85012.95607747989
180,2020-07-20,,620.4664990331055,85021.04739515549
181,2020-07-21,,626.662362291982,85028.89597330082
182,2020-07-22,,632.9198186492534,85036.5090941018
183,2020-07-23,,639.239474817665,85043.89382127875
184,2020-07-24,,645.6219433738407,85051.05700664039
185,2020-07-25,,652.0678428126835,85058.00529644119
186,2020-07-26,,658.5777976022351,85064.74513754796
187,2020-07-27,,665.1524382389963,85071.28278342153
188,2020-07-28,,671.7924013037109,85077.62429991888
189,2020-07-29,,678.4983295176169,85083.77557092132
190,2020-07-30,,685.270871799168,85089.7423037937
191,2020-07-31,,692.1106833212264,85095.5300346799
192,2020-08-01,,699.0184255687313,85101.14413363952
193,2020-08-02,,705.9947663968469,85106.58980963036
194,2020-08-03,,713.0403800895896,85111.87211534147
195,2020-08-04,,720.1559474189407,85116.99595188124
196,2020-08-05,,727.3421557044451,85121.96607332482
197,2020-08-06,,734.5996988732992,85126.78709112508
198,2020-08-07,,741.9292775209321,85131.46347839134
199,2020-08-08,,749.3315989720811,85135.9995740396
200,2020-08-09,,756.8073773423652,85140.39958681841
201,2020-08-10,,764.3573336003594,85144.66759921386
202,2020-08-11,,771.9821956301726,85148.80757123744
203,2020-08-12,,779.6826982945306,85152.82334410031
204,2020-08-13,,787.4595834983695,85156.71864377729
205,2020-08-14,,795.3136002529388,85160.49708446396
206,2020-08-15,,803.2455047404201,85164.16217193003
207,2020-08-16,,811.2560603790613,85167.71730677212
208,2020-08-17,,819.3460378888313,85171.16578756894
209,2020-08-18,,827.5162153575961,85174.51081394186
210,2020-08-19,,835.7673783078193,85177.7554895236
211,2020-08-20,,844.1003197637903,85180.90282483787
212,2020-08-21,,852.5158403193819,85183.95574009273
213,2020-08-22,,861.0147482063397,85186.91706788994
214,2020-08-23,,869.5978593631064,85189.78955585323
215,2020-08-24,,878.2659975041834,85192.57586917763
216,2020-08-25,,887.0199941900314,85195.2785931023
217,2020-08-26,,895.8606888975131,85197.90023530922
218,2020-08-27,,904.7889290908795,85200.44322824995
219,2020-08-28,,913.8055702933042,85202.90993140245
220,2020-08-29,,922.9114761589642,85205.30263346038
221,2020-08-30,,932.1075185456737,85207.62355445657
222,2020-08-31,,941.3945775880695,85209.87484782288
223,2020-09-01,,950.7735417713534,85212.0586023882
224,2020-09-02,,960.2453080055898,85214.17684431658
225,2020-09-03,,969.8107817005649,85216.2315389871
226,2020-09-04,,979.4708768412063,85218.2245928175
227,2020-09-05,,989.2265160635658,85220.15785503299
228,2020-09-06,,999.0786307313682,85222.03311938202
229,2020-09-07,,1009.0281610131275,85223.85212580058
230,2020-09-08,,1019.0760559598315,85225.61656202658
231,2020-09-09,,1029.2232735831972,85227.3280651658
232,2020-09-10,,1039.4707809344993,85228.98822321084
233,2020-09-11,,1049.8195541839723,85230.59857651452
234,2020-09-12,,1060.270578700789,85232.16061921908
235,2020-09-13,,1070.8248491336149,85233.67580064251
236,2020-09-14,,1081.483369491743,85235.14552662324
237,2020-09-15,,1092.2471532268075,85236.57116082455
238,2020-09-16,,1103.1172233150796,85237.95402599982
239,2020-09-17,,1114.0946123403448,85239.29540521983
240,2020-09-18,,1125.1803625773655,85240.59654306325
241,2020-09-19,,1136.3755260759272,85241.85864677136
242,2020-09-20,,1147.6811647454724,85243.08288736823
243,2020-09-21,,1159.0983504403184,85244.2704007472
244,2020-09-22,,1170.6281650454662,85245.4222887248
245,2020-09-23,,1182.2717005629956,85246.53962006308
246,2020-09-24,,1194.0300591990504,85247.62343146121
247,2020-09-25,,1205.9043534514124,85248.67472851739
248,2020-09-26,,1217.8957061976676,85249.69448666189
249,2020-09-27,,1230.0052507839605,85250.68365206204
250,2020-09-28,,1242.2341311143418,85251.6431425002
251,2020-09-29,,1254.5835017407055,85252.5738482252
252,2020-09-30,,1267.0545279533183,85253.47663277846
253,2020-10-01,,1279.6483858719394,85254.35233379512
254,2020-10-02,,1292.3662625375325,85255.20176378128
255,2020-10-03,,1305.209356004567,85256.02571086786
256,2020-10-04,,1318.1788754339118,85256.82493954185
257,2020-10-05,,1331.2760411863178,85257.60019135562
258,2020-10-06,,1344.5020849164896,85258.35218561499
259,2020-10-07,,1357.8582496677482,85259.08162004658
260,2020-10-08,,1371.3457899672785,85259.78917144521
261,2020-10-09,,1384.9659719219653,85260.4754963019
262,2020-10-10,,1398.720073314816,85261.14123141287
263,2020-10-11,,1412.6093837019666,85261.78699447052
264,2020-10-12,,1426.63520451027,85262.41338463643
265,2020-10-13,,1440.7988491354681,85263.02098309736
266,2020-10-14,,1455.1016430409431,85263.61035360447
267,2020-10-15,,1469.5449238570454,85264.18204299636
268,2020-10-16,,1484.1300414809991,85264.73658170649
269,2020-10-17,,1498.8583581773808,85265.27448425531
270,2020-10-18,,1513.73124867917,85265.79624972766
271,2020-10-19,,1528.7501002893691,85266.30236223585
272,2020-10-20,,1543.9163129831882,85266.79329136878
273,2020-10-21,,1559.231299510794,85267.26949262773
274,2020-10-22,,1574.696485500621,85267.73140784891
275,2020-10-23,,1590.313309563236,85268.17946561346
276,2020-10-24,,1606.0832233957606,85268.61408164506
277,2020-10-25,,1622.0076918868394,85269.03565919572
278,2020-10-26,,1638.0881932221598,85269.44458941986
279,2020-10-27,,1654.3262189905074,85269.84125173726
280,2020-10-28,,1670.7232742903657,85270.22601418514
281,2020-10-29,,1687.2808778370447,85270.59923375958
282,2020-10-30,,1704.0005620703414,85270.96125674678
283,2020-10-31,,1720.8838732627214,85271.31241904438
284,2020-11-01,,1737.9323716280223,85271.65304647305
285,2020-11-02,,1755.1476314306674,85271.98345507885
286,2020-11-03,,1772.531241095389,85272.30395142648
287,2020-11-04,,1790.0848033174534,85272.61483288369
288,2020-11-05,,1807.8099351733804,85272.91638789717
289,2020-11-06,,1825.7082682321534,85273.20889626026
290,2020-11-07,,1843.7814486669113,85273.49262937244
291,2020-11-08,,1862.0311373671161,85273.76785049126
292,2020-11-09,,1880.4590100511898,85274.03481497652
293,2020-11-10,,1899.0667573796113,85274.29377052722
294,2020-11-11,,1917.856085068466,85274.5449574114
295,2020-11-12,,1936.8287140034429,85274.78860868906
296,2020-11-13,,1955.9863803542657,85275.0249504284
297,2020-11-14,,1975.3308356895532,85275.25420191555
298,2020-11-15,,1994.863847092098,85275.47657585809
299,2020-11-16,,2014.5871972745565,85275.69227858236
300,2020-11-17,,2034.502684695536,85275.9015102249
301,2020-11-18,,2054.612123676074,85276.10446491816
302,2020-11-19,,2074.917344516498,85276.30133097061
303,2020-11-20,,2095.420193613649,85276.4922910415
304,2020-11-21,,2116.1225335784716,85276.67752231027
305,2020-11-22,,2137.0262433539397,85276.85719664098
306,2020-11-23,,2158.133218333326,85277.03148074176
307,2020-11-24,,2179.44537047879,85277.20053631952
308,2020-11-25,,2200.964628440275,85277.36452022995
309,2020-11-26,,2222.692937674703,85277.52358462306
310,2020-11-27,,2244.6322605654536,85277.67787708438
311,2020-11-28,,2266.784576542112,85277.82754077186
312,2020-11-29,,2289.151882200472,85277.97271454871
313,2020-11-30,,2311.7361914227786,85278.11353311226
314,2020-12-01,,2334.539535498201,85278.25012711891
315,2020-12-02,,2357.5639632435104,85278.38262330536
316,2020-12-03,,2380.811541123952,85278.51114460621
317,2020-12-04,,2404.2843533742994,85278.63581026804
318,2020-12-05,,2427.9845021200667,85278.75673596002
319,2020-12-06,,2451.914107498861,85278.87403388125
320,2020-12-07,,2476.0753077818663,85278.98781286484
321,2020-12-08,,2500.470259495427,85279.09817847893
322,2020-12-09,,2525.101137542728,85279.20523312461
323,2020-12-10,,2549.9701353255336,85279.30907613091
324,2020-12-11,,2575.0794648659835,85279.40980384703
325,2020-12-12,,2600.43135692841,85279.50750973166
326,2020-12-13,,2626.0280611411663,85279.60228443975
327,2020-12-14,,2651.8718461184358,85279.69421590661
328,2020-12-15,,2677.9649995820105,85279.78338942946
329,2020-12-16,,2704.3098284830003,85279.86988774662
330,2020-12-17,,2730.908659123469,85279.95379111427
331,2020-12-18,,2757.7638372779534,85280.03517738088
332,2020-12-19,,2784.8777283148556,85280.11412205949
333,2020-12-20,,2812.2527173176773,85280.19069839774
334,2020-12-21,,2839.891209206068,85280.26497744584
335,2020-12-22,,2867.7956288566675,85280.33702812249
336,2020-12-23,,2895.9684212237034,85280.40691727884
337,2020-12-24,,2924.4120514593333,85280.4747097605
338,2020-12-25,,2953.129005033685,85280.5404684677
339,2020-12-26,,2982.1217878545767,85280.60425441369
340,2020-12-27,,3011.392926386882,85280.66612678129
341,2020-12-28,,3040.9449677715147,85280.72614297786
342,2020-12-29,,3070.780479943991,85280.78435868853
343,2020-12-30,,3100.9020517525514,85280.84082792788
344,2020-12-31,,3131.312293075796,85280.89560309006
345,2021-01-01,,3162.0138349398057,85280.94873499738
346,2021-01-02,,3193.0093296347172,85281.00027294748
347,2021-01-03,,3224.301450830707,85281.05026475908
348,2021-01-04,,3255.89289369336,85281.09875681633
349,2021-01-05,,3287.7863749983762,85281.14579411186
350,2021-01-06,,3319.9846332455827,85281.19142028852
351,2021-01-07,,3352.4904287722084,85281.23567767988
352,2021-01-08,,3385.306543865387,85281.27860734951
353,2021-01-09,,3418.4357828738407,85281.32024912904
354,2021-01-10,,3451.8809723187105,85281.36064165519
355,2021-01-11,,3485.644961003486,85281.39982240555
356,2021-01-12,,3519.730620122991,85281.4378277334
357,2021-01-13,,3554.140843371382,85281.47469290142
358,2021-01-14,,3588.878547049118,85281.5104521144
359,2021-01-15,,3623.946670168847,85281.54513855098
360,2021-01-16,,3659.348174560171,85281.57878439447
361,2021-01-17,,3695.086044973233,85281.61142086265
362,2021-01-18,,3731.1632891810827,85281.6430782368
